cvegeo,state,municipality,cropmanagement,latitude,longitude,year,elevation(meters),srad(w/m^2),tmax(celsius),tmin(celsius),vp(pa),prcp(mm/day),price,sowed(ha),harvest(ha),cropproduction,yield
16076,Michoacán,Sahuayo,Riego,20.055140000000147,-102.76629999999996,2003,1631.0,447.35999960703384,28.089041095890412,11.141095890410963,982.6849315068494,1.8849315068493149,310.0,7.0,7.0,633.5,90.5
16104,Michoacán,Villamar,Riego,19.993760000000087,-102.58640000000014,2003,2124.0,451.436712395655,25.19726027397261,7.347945205479452,768.0,3.104109589041096,310.0,16.0,16.0,1452.8,90.8
16009,Michoacán,Ario,Riego,19.15631000000009,-101.70666999999963,2003,1736.0,450.1567120277719,26.106849315068487,10.9,968.7671232876712,2.6684931506849314,260.0,90.0,90.0,8010.0,89.0
16079,Michoacán,Salvador Escalante,Riego,19.381209999999808,-101.68807999999993,2003,2301.0,452.05041144384086,22.61369863013699,7.171232876712327,768.0,2.9863013698630136,260.0,40.0,40.0,3520.0,88.0
16082,Michoacán,Tacámbaro,Riego,19.254839999999856,-101.45202000000003,2003,1813.0,462.0712340472496,26.806849315068487,10.613698630136986,938.8493150684932,2.7287671232876707,310.0,3657.0,3657.0,336810.0,92.1
16097,Michoacán,Turicato,Riego,18.932079999999853,-101.42211999999986,2003,931.0,449.51671226187926,31.910958904109588,14.679452054794519,1193.7534246575342,1.8328767123287668,280.0,1540.0,1540.0,127820.0,83.0
17001,Morelos,Amacuzac,Riego,18.590000000000085,-99.38668000000004,2003,964.0,436.2695891079837,33.05068493150685,15.975342465753426,1377.86301369863,2.912328767123288,343.0,270.3,270.3,28381.5,105.0
17012,Morelos,Jojutla,Riego,18.58454999999985,-99.22253999999985,2003,931.0,437.52328742040345,32.75205479452055,15.601369863013694,1353.6438356164385,2.5315068493150683,343.0,1549.0,1533.0,176295.0,115.0
17017,Morelos,Puente de Ixtla,Riego,18.577790000000068,-99.28567000000015,2003,946.0,439.5923280898839,32.824657534246576,15.905479452054793,1366.7945205479452,2.5041095890410956,343.0,695.7,611.9,62391.0,101.96
17024,Morelos,Tlaltizapán de Zapata,Riego,18.704950000000068,-99.10825000000015,2003,967.0,435.5156167226295,32.156164383561645,15.509589041095893,1352.5479452054794,2.783561643835617,343.0,3300.5,3149.2,340113.6,108.0
17025,Morelos,Tlaquiltenango,Riego,18.499130000000093,-99.07473000000023,2003,1227.0,426.9852052453446,31.46575342465753,14.632876712328768,1263.2328767123288,2.791780821917808,343.0,1690.2,1672.2,170950.5,102.23
17031,Morelos,Zacatepec,Riego,18.65564999999992,-99.20271000000028,2003,918.0,439.17150644798795,32.794520547945204,15.287671232876713,1351.013698630137,2.6,285.0,630.8,559.8,61578.0,110.0
17008,Morelos,Emiliano Zapata,Riego,18.813729999999907,-99.18089999999957,2003,1225.0,427.5024661547517,30.37534246575343,15.001369863013695,1305.86301369863,3.5616438356164384,285.0,131.0,131.0,12549.8,95.8
17014,Morelos,Mazatepec,Riego,18.685919999999914,-99.36541999999945,2003,1000.0,442.9150690784193,33.05205479452055,15.156164383561645,1302.9041095890414,2.7205479452054795,285.0,350.0,277.0,30470.0,110.0
17015,Morelos,Miacatlán,Riego,18.802959999999988,-99.35517999999935,2003,1053.0,441.5561647180008,31.23561643835617,14.191780821917806,1222.027397260274,3.1178082191780816,285.0,262.0,262.0,23815.8,90.9
17018,Morelos,Temixco,Riego,18.842529999999915,-99.2722399999992,2003,1235.0,435.62958875682267,29.963013698630142,14.639726027397261,1242.7397260273974,3.410958904109589,285.0,15.0,15.0,1500.0,100.0
17021,Morelos,Tetecala,Riego,18.692740000000146,-99.4123900000003,2003,1182.0,442.9939732381743,32.178082191780824,15.034246575342467,1290.3013698630134,2.9342465753424656,285.0,38.0,34.5,3450.0,100.0
17028,Morelos,Xochitepec,Riego,18.76190000000016,-99.23528000000059,2003,1077.0,438.18958965980835,31.55205479452055,15.015068493150684,1298.4109589041095,2.9835616438356163,285.0,115.0,115.0,12075.0,105.0
17026,Morelos,Tlayacapan,Riego,18.954029999999925,-98.97503000000064,2003,1636.0,441.88054826292273,27.854794520547944,12.587671232876716,1104.6575342465753,3.8054794520547945,285.0,29.0,29.0,3190.0,110.0
17029,Morelos,Yautepec,Riego,18.87223999999991,-99.05235000000059,2003,1214.0,431.9210960074648,29.815068493150694,14.984931506849316,1296.4383561643835,3.1835616438356165,285.0,1655.0,1655.0,177085.0,107.0
17030,Morelos,Yecapixtla,Riego,18.852700000000123,-98.85681000000015,2003,1625.0,443.1517808051959,28.461643835616442,13.498630136986305,1167.7808219178082,3.271232876712329,285.0,2.0,2.0,190.0,95.0
17003,Morelos,Axochiapan,Riego,18.525239999999954,-98.75211000000056,2003,1054.0,448.0701380899508,30.99726027397261,12.908219178082195,1153.5342465753426,3.668493150684931,365.09,962.0,577.0,60585.0,105.0
17004,Morelos,Ayala,Riego,18.71622000000004,-98.97896999999979,2003,1141.0,440.29369908162994,29.69726027397261,14.236986301369862,1209.2054794520548,2.3917808219178083,365.09,1848.0,1599.0,167895.0,105.0
17006,Morelos,Cuautla,Riego,18.827059999999875,-98.9618,2003,1322.0,440.7408213994273,29.476712328767125,14.528767123287675,1248.5479452054794,2.7205479452054795,365.09,1572.0,1432.0,150360.0,105.0
17010,Morelos,Jantetelco,Riego,18.685410000000047,-98.76470999999997,2003,1360.0,446.6147941693868,29.632876712328766,13.028767123287675,1140.9315068493152,3.238356164383561,365.09,130.0,121.0,14520.0,120.0
17019,Morelos,Tepalcingo,Riego,18.574779999999933,-98.89425000000021,2003,1212.0,444.1249312727418,28.846575342465755,12.347945205479453,1095.6712328767123,3.1808219178082187,365.09,152.0,152.0,16720.0,110.0
18004,Nayarit,Compostela,Riego,21.131370000000047,-105.0567500000003,2003,573.0,411.47616514441086,29.48630136986301,16.441095890410963,1417.86301369863,4.695890410958904,240.0,526.0,526.0,42080.0,80.0
18004,Nayarit,Compostela,Temporal,21.131370000000047,-105.0567500000003,2003,573.0,411.47616514441086,29.48630136986301,16.441095890410963,1417.86301369863,4.695890410958904,240.0,385.0,385.0,26950.0,70.0
18013,Nayarit,San Pedro Lagunillas,Temporal,21.161070000000095,-104.74880000000056,2003,1343.0,441.4246573252221,27.331506849315076,11.606849315068493,1019.8356164383563,4.084931506849316,240.0,1480.0,1480.0,112480.0,76.0
18002,Nayarit,Ahuacatlán,Riego,21.04111000000007,-104.57633999999969,2003,1242.0,435.78739757799116,28.463013698630142,11.893150684931507,1029.3698630136987,2.632876712328767,326.0,104.0,104.0,10400.0,100.0
18002,Nayarit,Ahuacatlán,Temporal,21.04111000000007,-104.57633999999969,2003,1242.0,435.78739757799116,28.463013698630142,11.893150684931507,1029.3698630136987,2.632876712328767,326.0,335.0,335.0,30150.0,90.0
18003,Nayarit,Amatlán de Cañas,Temporal,20.84846999999992,-104.40145000000004,2003,1311.0,458.24000005852685,29.02191780821918,11.539726027397261,1005.3698630136986,2.095890410958904,326.0,4.0,4.0,280.0,70.0
18014,Nayarit,Santa María del Oro,Riego,21.356490000000075,-104.5903299999997,2003,1032.0,423.5747939854452,30.236986301369864,13.532876712328768,1152.7671232876712,3.6109589041095886,326.0,939.0,853.0,76770.0,90.0
18014,Nayarit,Santa María del Oro,Temporal,21.356490000000075,-104.5903299999997,2003,1032.0,423.5747939854452,30.236986301369864,13.532876712328768,1152.7671232876712,3.6109589041095886,326.0,7977.25,7740.25,619220.0,80.0
18019,Nayarit,La Yesca,Temporal,21.542819999999857,-104.15089000000013,2003,1694.0,450.9895888237104,27.3054794520548,10.317808219178081,923.2876712328767,2.8328767123287677,326.0,3.0,3.0,240.0,80.0
18008,Nayarit,Xalisco,Riego,21.390860000000192,-104.96175999999909,2003,1141.0,430.57095876197286,27.24794520547945,13.805479452054794,1185.7534246575342,4.849315068493151,326.0,898.0,898.0,65554.0,73.0
18008,Nayarit,Xalisco,Temporal,21.390860000000192,-104.96175999999909,2003,1141.0,430.57095876197286,27.24794520547945,13.805479452054794,1185.7534246575342,4.849315068493151,326.0,6227.0,6227.0,361166.0,58.0
18017,Nayarit,Tepic,Riego,21.621589999999923,-104.84048999999985,2003,579.0,413.2821922824809,31.063013698630137,16.072602739726026,1359.8904109589039,4.306849315068493,326.0,2056.0,2056.0,154200.0,75.0
